code,constituency,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,round,last_updated_time,last_updated_date,party_full_name,party_short,rank_in_constituency,winner_votes,runner_up_votes,winning_margin_votes,winning_margin_percentage
S22148,KUNNAM - 148,SIVASANKAR. S.S,Dravida Munnetra Kazhagam,85785,1452,87237,37.84,25/25,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,87237,71680,15557,17.83302956314408
S22156,KURINJIPADI - 156,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,75778,917,76695,35.84,20/20,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,76695,69106,7589,9.895038790012386
S22143,LALGUDI - 143,LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,60329,466,60795,32.82,21/21,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,60795,58056,2739,4.5053047125585985
S22126,MADATHUKULAM - 126,R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,69595,863,70458,37.43,22/22,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,70458,54490,15968,22.663146839251752
S229,MADAVARAM - 9,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,189784,678,190462,52.61,19/19,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,190462,95477,94985,49.87084037760813
S22193,MADURAI CENTRAL - 193,MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,63106,308,63414,42.68,19/19,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,63414,44286,19128,30.16368625224714
S22189,MADURAI EAST - 189,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,117714,1063,118777,43.74,29/29,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,118777,102230,16547,13.931148286284381
S22191,MADURAI NORTH - 191,A.KALLANAI,Tamilaga Vettri Kazhagam,72121,732,72853,45.03,19/19,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,72853,54815,18038,24.75944710581582
S22192,MADURAI SOUTH - 192,M.M.GOPISON,Tamilaga Vettri Kazhagam,62162,253,62415,44.11,17/17,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,62415,40886,21529,34.493310902827844
S22194,MADURAI WEST - 194,THANGAPANDI SR,Tamilaga Vettri Kazhagam,87539,711,88250,40.78,27/27,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,88250,76319,11931,13.51954674220963
S2235,MADURANTAKAM - 35,MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,68544,740,69284,34.95,22/22,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,69284,62090,7194,10.383349691126378
S227,MADURAVOYAL - 7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,141423,302,141725,48.26,27/27,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,141725,80216,61509,43.400246957135295
S2271,MAILAM - 71,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,81436,917,82353,43.52,21/21,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,82353,52312,30041,36.478331086906365
